Ativo,Grupo,Ano,Config,Regime,Retorno_%,BH_%,DD_%,Trades
ETHUSDT,veterana,2021,EQUILIBRADO,BULL,33.48,399.2,33.38,5
ETHUSDT,veterana,2021,AGRESSIVO,BULL,9.24,399.2,30.91,5
ETHUSDT,veterana,2022,DEFENSIVO,BEAR,-3.93,-67.46,38.75,7
ETHUSDT,veterana,2022,EQUILIBRADO,BEAR,-44.2,-67.46,52.98,5
ETHUSDT,veterana,2022,AGRESSIVO,BEAR,-52.2,-67.46,56.63,5
ETHUSDT,veterana,2023,DEFENSIVO,BULL,40.28,90.77,26.74,9
ETHUSDT,veterana,2023,EQUILIBRADO,BULL,24.7,90.77,27.33,3
ETHUSDT,veterana,2023,AGRESSIVO,BULL,-28.38,90.77,39.72,7
ETHUSDT,veterana,2024,DEFENSIVO,BULL,36.7,46.27,34.43,8
ETHUSDT,veterana,2024,EQUILIBRADO,BULL,14.98,46.27,28.32,5
ETHUSDT,veterana,2024,AGRESSIVO,BULL,-15.12,46.27,39.78,5
ETHUSDT,veterana,2025,DEFENSIVO,LATERAL,80.25,13.66,15.06,4
ETHUSDT,veterana,2025,EQUILIBRADO,LATERAL,54.72,13.66,21.02,4
ETHUSDT,veterana,2025,AGRESSIVO,LATERAL,9.84,13.66,20.82,4
FETUSDT,nova,2019,DEFENSIVO,BEAR,-56.03,-88.76,58.25,14
FETUSDT,nova,2019,EQUILIBRADO,BEAR,-55.24,-88.76,67.88,7
FETUSDT,nova,2019,AGRESSIVO,BEAR,-30.27,-88.76,41.38,9
FETUSDT,nova,2020,DEFENSIVO,BULL,369.3,38.38,43.43,19
FETUSDT,nova,2020,EQUILIBRADO,BULL,166.24,38.38,58.48,11
FETUSDT,nova,2020,AGRESSIVO,BULL,53.71,38.38,58.58,12
FETUSDT,nova,2021,DEFENSIVO,BULL,126.4,873.84,70.24,25
FETUSDT,nova,2021,EQUILIBRADO,BULL,-46.63,873.84,71.32,10
FETUSDT,nova,2021,AGRESSIVO,BULL,-60.27,873.84,79.73,11
FETUSDT,nova,2022,DEFENSIVO,BEAR,-29.12,-81.74,51.94,23
FETUSDT,nova,2022,EQUILIBRADO,BEAR,-50.09,-81.74,64.96,13
FETUSDT,nova,2022,AGRESSIVO,BEAR,-50.95,-81.74,62.0,14
FETUSDT,nova,2023,DEFENSIVO,BULL,222.09,634.17,53.27,26
FETUSDT,nova,2023,EQUILIBRADO,BULL,23.51,634.17,54.34,11
FETUSDT,nova,2023,AGRESSIVO,BULL,-7.29,634.17,56.75,12
FETUSDT,nova,2024,DEFENSIVO,BULL,91.31,89.12,40.36,18
FETUSDT,nova,2024,EQUILIBRADO,BULL,-35.86,89.12,72.47,11
FETUSDT,nova,2024,AGRESSIVO,BULL,18.03,89.12,46.35,12
FETUSDT,nova,2025,DEFENSIVO,BEAR,-35.31,-44.18,47.07,15
FETUSDT,nova,2025,EQUILIBRADO,BEAR,-51.36,-44.18,61.84,9
FETUSDT,nova,2025,AGRESSIVO,BEAR,-40.23,-44.18,49.14,10
FLOKIUSDT,nova,2023,DEFENSIVO,LATERAL,44.27,8.24,26.74,13
FLOKIUSDT,nova,2023,EQUILIBRADO,LATERAL,-22.02,8.24,38.59,5
FLOKIUSDT,nova,2023,AGRESSIVO,LATERAL,-29.24,8.24,40.87,6
FLOKIUSDT,nova,2024,DEFENSIVO,BULL,702.9,406.9,34.94,23
FLOKIUSDT,nova,2024,EQUILIBRADO,BULL,-20.95,406.9,58.69,11
FLOKIUSDT,nova,2024,AGRESSIVO,BULL,-43.91,406.9,62.95,14
FLOKIUSDT,nova,2025,DEFENSIVO,BEAR,83.0,-34.61,26.03,9
FLOKIUSDT,nova,2025,EQUILIBRADO,BEAR,15.86,-34.61,41.32,5
FLOKIUSDT,nova,2025,AGRESSIVO,BEAR,50.15,-34.61,12.86,6
HBARUSDT,nova,2019,DEFENSIVO,BEAR,0.63,-67.0,1.02,1
HBARUSDT,nova,2019,EQUILIBRADO,BEAR,-28.5,-67.0,30.09,1
HBARUSDT,nova,2019,AGRESSIVO,BEAR,-28.5,-67.0,30.09,1
HBARUSDT,nova,2020,DEFENSIVO,BULL,120.9,211.55,62.47,14
HBARUSDT,nova,2020,EQUILIBRADO,BULL,-14.63,211.55,58.7,8
HBARUSDT,nova,2020,AGRESSIVO,BULL,47.64,211.55,26.85,8
HBARUSDT,nova,2021,DEFENSIVO,BULL,27.49,812.35,72.23,12
HBARUSDT,nova,2021,EQUILIBRADO,BULL,-37.8,812.35,75.52,7
HBARUSDT,nova,2021,AGRESSIVO,BULL,-55.86,812.35,75.23,7
HBARUSDT,nova,2022,DEFENSIVO,BEAR,-43.46,-87.42,44.18,6
HBARUSDT,nova,2022,EQUILIBRADO,BEAR,-40.25,-87.42,43.07,4
HBARUSDT,nova,2022,AGRESSIVO,BEAR,-52.8,-87.42,53.4,5
HBARUSDT,nova,2023,DEFENSIVO,BULL,39.91,135.34,37.16,14
HBARUSDT,nova,2023,EQUILIBRADO,BULL,64.62,135.34,38.5,4
HBARUSDT,nova,2023,AGRESSIVO,BULL,36.73,135.34,33.4,6
HBARUSDT,nova,2024,DEFENSIVO,BULL,-11.16,212.79,42.75,8
HBARUSDT,nova,2024,EQUILIBRADO,BULL,-51.77,212.79,52.04,6
HBARUSDT,nova,2024,AGRESSIVO,BULL,-57.81,212.79,57.86,6
HBARUSDT,nova,2025,DEFENSIVO,LATERAL,-35.02,-1.96,37.41,5
HBARUSDT,nova,2025,EQUILIBRADO,LATERAL,-44.81,-1.96,58.96,3
HBARUSDT,nova,2025,AGRESSIVO,LATERAL,-16.89,-1.96,39.98,4
IMXUSDT,nova,2022,DEFENSIVO,BEAR,-59.22,-89.76,68.56,13
IMXUSDT,nova,2022,EQUILIBRADO,BEAR,-84.89,-89.76,88.35,6
IMXUSDT,nova,2022,AGRESSIVO,BEAR,-77.48,-89.76,82.64,8
IMXUSDT,nova,2023,DEFENSIVO,BULL,72.24,455.08,61.47,14
IMXUSDT,nova,2023,EQUILIBRADO,BULL,-50.32,455.08,70.43,8
IMXUSDT,nova,2023,AGRESSIVO,BULL,-15.43,455.08,46.38,8
IMXUSDT,nova,2024,DEFENSIVO,BEAR,-26.07,-37.79,45.61,9
IMXUSDT,nova,2024,EQUILIBRADO,BEAR,-56.73,-37.79,60.48,6
IMXUSDT,nova,2024,AGRESSIVO,BEAR,-64.02,-37.79,64.56,6
IMXUSDT,nova,2025,DEFENSIVO,BEAR,-27.0,-57.51,38.06,5
IMXUSDT,nova,2025,EQUILIBRADO,BEAR,-40.76,-57.51,49.55,4
IMXUSDT,nova,2025,AGRESSIVO,BEAR,-45.25,-57.51,49.96,5
INJUSDT,nova,2020,DEFENSIVO,BULL,0.0,912.05,0.0,0
INJUSDT,nova,2020,EQUILIBRADO,BULL,0.0,912.05,0.0,0
INJUSDT,nova,2020,AGRESSIVO,BULL,0.0,912.05,0.0,0
INJUSDT,nova,2021,DEFENSIVO,BULL,78.05,103.33,55.4,5
INJUSDT,nova,2021,EQUILIBRADO,BULL,5.71,103.33,58.68,4
INJUSDT,nova,2021,AGRESSIVO,BULL,-73.17,103.33,86.92,5
INJUSDT,nova,2022,DEFENSIVO,BEAR,-38.88,-84.52,60.15,6
INJUSDT,nova,2022,EQUILIBRADO,BEAR,-25.13,-84.52,63.14,3
INJUSDT,nova,2022,AGRESSIVO,BEAR,-34.2,-84.52,66.19,4
INJUSDT,nova,2023,DEFENSIVO,BULL,239.48,2704.31,54.02,10
INJUSDT,nova,2023,EQUILIBRADO,BULL,111.12,2704.31,45.71,4
INJUSDT,nova,2023,AGRESSIVO,BULL,23.87,2704.31,45.71,4
INJUSDT,nova,2024,DEFENSIVO,BEAR,-48.1,-45.13,60.52,8
INJUSDT,nova,2024,EQUILIBRADO,BEAR,-44.08,-45.13,68.85,3
INJUSDT,nova,2024,AGRESSIVO,BEAR,-51.39,-45.13,66.27,5
INJUSDT,nova,2025,DEFENSIVO,BEAR,-5.76,-28.19,32.24,3
INJUSDT,nova,2025,EQUILIBRADO,BEAR,-14.5,-28.19,41.79,1
INJUSDT,nova,2025,AGRESSIVO,BEAR,28.99,-28.19,35.7,1
LINKUSDT,veterana,2019,DEFENSIVO,BULL,269.69,230.03,50.03,13
LINKUSDT,veterana,2019,EQUILIBRADO,BULL,-8.99,230.03,44.47,4
LINKUSDT,veterana,2019,AGRESSIVO,BULL,-16.72,230.03,44.47,4
LINKUSDT,veterana,2020,DEFENSIVO,BULL,907.19,535.61,31.53,8
LINKUSDT,veterana,2020,EQUILIBRADO,BULL,88.16,535.61,31.05,5
LINKUSDT,veterana,2020,AGRESSIVO,BULL,38.57,535.61,25.77,6
LINKUSDT,veterana,2021,DEFENSIVO,BULL,43.12,73.63,53.5,13
LINKUSDT,veterana,2021,EQUILIBRADO,BULL,22.39,73.63,54.34,5
LINKUSDT,veterana,2021,AGRESSIVO,BULL,-8.56,73.63,52.81,6
LINKUSDT,veterana,2022,DEFENSIVO,BEAR,-53.9,-71.44,59.93,15
LINKUSDT,veterana,2022,EQUILIBRADO,BEAR,-66.28,-71.44,67.82,3
LINKUSDT,veterana,2022,AGRESSIVO,BEAR,-20.51,-71.44,42.08,3
LINKUSDT,veterana,2023,DEFENSIVO,BULL,118.41,168.0,24.35,14
LINKUSDT,veterana,2023,EQUILIBRADO,BULL,-1.73,168.0,43.91,7
LINKUSDT,veterana,2023,AGRESSIVO,BULL,30.44,168.0,23.04,8
LINKUSDT,veterana,2024,DEFENSIVO,BULL,-7.43,33.92,45.4,17
LINKUSDT,veterana,2024,EQUILIBRADO,BULL,-31.77,33.92,61.31,7
LINKUSDT,veterana,2024,AGRESSIVO,BULL,-44.76,33.92,68.25,7
LINKUSDT,veterana,2025,DEFENSIVO,LATERAL,-25.22,-10.94,34.41,7
LINKUSDT,veterana,2025,EQUILIBRADO,LATERAL,-39.05,-10.94,52.73,5
LINKUSDT,veterana,2025,AGRESSIVO,LATERAL,-35.26,-10.94,48.45,6
PENGUUSDT,nova,2024,DEFENSIVO,BULL,0.0,887.44,0.0,0
PENGUUSDT,nova,2024,EQUILIBRADO,BULL,0.0,887.44,0.0,0
PENGUUSDT,nova,2024,AGRESSIVO,BULL,0.0,887.44,0.0,0
PENGUUSDT,nova,2025,DEFENSIVO,LATERAL,-1.3,14.17,44.18,10
PENGUUSDT,nova,2025,EQUILIBRADO,LATERAL,-36.27,14.17,55.81,7
PENGUUSDT,nova,2025,AGRESSIVO,LATERAL,-58.74,14.17,62.1,7
PEPEUSDT,nova,2023,DEFENSIVO,BEAR,106.41,-34.01,28.02,9
PEPEUSDT,nova,2023,EQUILIBRADO,BEAR,12.84,-34.01,44.64,4
PEPEUSDT,nova,2023,AGRESSIVO,BEAR,9.78,-34.01,41.07,5
PEPEUSDT,nova,2024,DEFENSIVO,BULL,702.48,1435.38,58.64,25
PEPEUSDT,nova,2024,EQUILIBRADO,BULL,-73.65,1435.38,73.65,13
PEPEUSDT,nova,2024,AGRESSIVO,BULL,-67.38,1435.38,74.42,13
PEPEUSDT,nova,2025,DEFENSIVO,BEAR,16.59,-42.28,40.51,11
PEPEUSDT,nova,2025,EQUILIBRADO,BEAR,-43.05,-42.28,51.24,8
PEPEUSDT,nova,2025,AGRESSIVO,BEAR,-41.16,-42.28,49.86,8
RENDERUSDT,nova,2024,DEFENSIVO,LATERAL,51.06,-3.39,18.99,8
RENDERUSDT,nova,2024,EQUILIBRADO,LATERAL,29.07,-3.39,30.97,4
RENDERUSDT,nova,2024,AGRESSIVO,LATERAL,-1.81,-3.39,36.51,5
RENDERUSDT,nova,2025,DEFENSIVO,BEAR,7.46,-42.25,28.95,11
RENDERUSDT,nova,2025,EQUILIBRADO,BEAR,-16.84,-42.25,50.47,6
RENDERUSDT,nova,2025,AGRESSIVO,BEAR,4.6,-42.25,33.82,7
SOLUSDT,veterana,2020,DEFENSIVO,BEAR,-12.42,-47.11,26.47,1
SOLUSDT,veterana,2020,EQUILIBRADO,BEAR,-25.73,-47.11,50.43,0
SOLUSDT,veterana,2020,AGRESSIVO,BEAR,-25.73,-47.11,50.43,0
SOLUSDT,veterana,2021,DEFENSIVO,BULL,5446.63,11166.57,47.3,9
SOLUSDT,veterana,2021,EQUILIBRADO,BULL,210.59,11166.57,47.47,4
SOLUSDT,veterana,2021,AGRESSIVO,BULL,98.59,11166.57,47.21,4
SOLUSDT,veterana,2022,DEFENSIVO,BEAR,-59.09,-94.14,70.01,12
SOLUSDT,veterana,2022,EQUILIBRADO,BEAR,-76.32,-94.14,82.4,4
SOLUSDT,veterana,2022,AGRESSIVO,BEAR,-49.94,-94.14,65.19,4
SOLUSDT,veterana,2023,DEFENSIVO,BULL,604.07,920.26,33.84,9
SOLUSDT,veterana,2023,EQUILIBRADO,BULL,1.81,920.26,51.77,6
SOLUSDT,veterana,2023,AGRESSIVO,BULL,-18.97,920.26,51.77,6
SOLUSDT,veterana,2024,DEFENSIVO,BULL,-10.14,86.11,35.14,7
SOLUSDT,veterana,2024,EQUILIBRADO,BULL,29.42,86.11,43.48,5
SOLUSDT,veterana,2024,AGRESSIVO,BULL,37.58,86.11,29.88,5
SOLUSDT,veterana,2025,DEFENSIVO,LATERAL,7.41,-4.14,33.63,6
SOLUSDT,veterana,2025,EQUILIBRADO,LATERAL,23.81,-4.14,25.98,5
SOLUSDT,veterana,2025,AGRESSIVO,LATERAL,2.3,-4.14,34.4,5
SUIUSDT,nova,2023,DEFENSIVO,BULL,10.96,675.2,20.79,6
SUIUSDT,nova,2023,EQUILIBRADO,BULL,4.99,675.2,30.77,4
SUIUSDT,nova,2023,AGRESSIVO,BULL,10.8,675.2,30.77,5
SUIUSDT,nova,2024,DEFENSIVO,BULL,8.15,431.73,39.4,19
SUIUSDT,nova,2024,EQUILIBRADO,BULL,-6.47,431.73,66.68,8
SUIUSDT,nova,2024,AGRESSIVO,BULL,2.77,431.73,54.0,11
SUIUSDT,nova,2025,DEFENSIVO,LATERAL,13.11,-7.51,31.09,8
SUIUSDT,nova,2025,EQUILIBRADO,LATERAL,-25.12,-7.51,40.68,4
SUIUSDT,nova,2025,AGRESSIVO,LATERAL,-23.88,-7.51,37.15,5
TAOUSDT,nova,2024,DEFENSIVO,LATERAL,44.33,0.27,25.63,11
TAOUSDT,nova,2024,EQUILIBRADO,LATERAL,-7.16,0.27,40.39,8
TAOUSDT,nova,2024,AGRESSIVO,LATERAL,8.37,0.27,31.71,9
TAOUSDT,nova,2025,DEFENSIVO,LATERAL,29.93,-12.97,23.21,13
TAOUSDT,nova,2025,EQUILIBRADO,LATERAL,-44.48,-12.97,56.59,8
TAOUSDT,nova,2025,AGRESSIVO,LATERAL,-35.19,-12.97,41.9,8
TRXUSDT,veterana,2018,DEFENSIVO,BEAR,-1.3,-48.6,23.93,3
TRXUSDT,veterana,2018,EQUILIBRADO,BEAR,-30.41,-48.6,53.17,2
TRXUSDT,veterana,2018,AGRESSIVO,BEAR,-36.73,-48.6,53.17,2
TRXUSDT,veterana,2019,DEFENSIVO,BEAR,-14.35,-28.76,45.86,7
TRXUSDT,veterana,2019,EQUILIBRADO,BEAR,-25.17,-28.76,71.84,4
TRXUSDT,veterana,2019,AGRESSIVO,BEAR,-14.33,-28.76,56.25,5
TRXUSDT,veterana,2020,DEFENSIVO,BULL,168.4,101.28,37.73,5
TRXUSDT,veterana,2020,EQUILIBRADO,BULL,92.34,101.28,14.96,4
TRXUSDT,veterana,2020,AGRESSIVO,BULL,66.55,101.28,16.59,4
TRXUSDT,veterana,2021,DEFENSIVO,BULL,146.96,181.62,48.08,11
TRXUSDT,veterana,2021,EQUILIBRADO,BULL,17.04,181.62,43.56,5
TRXUSDT,veterana,2021,AGRESSIVO,BULL,25.0,181.62,41.93,6
TRXUSDT,veterana,2022,DEFENSIVO,BEAR,-30.49,-27.68,43.34,11
TRXUSDT,veterana,2022,EQUILIBRADO,BEAR,-8.51,-27.68,25.93,3
TRXUSDT,veterana,2022,AGRESSIVO,BEAR,8.06,-27.68,25.93,4
TRXUSDT,veterana,2023,DEFENSIVO,BULL,44.05,97.5,22.33,13
TRXUSDT,veterana,2023,EQUILIBRADO,BULL,66.48,97.5,20.66,3
TRXUSDT,veterana,2023,AGRESSIVO,BULL,29.72,97.5,20.66,5
TRXUSDT,veterana,2024,DEFENSIVO,BULL,121.34,136.71,43.86,7
TRXUSDT,veterana,2024,EQUILIBRADO,BULL,51.01,136.71,13.12,5
TRXUSDT,veterana,2024,AGRESSIVO,BULL,22.39,136.71,13.12,5
TRXUSDT,veterana,2025,DEFENSIVO,BULL,-24.5,32.9,41.04,10
