Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_Base_%,Retorno_ScaleOut_%,BuyHold_%,DD_Base_%,DD_ScaleOut_%,Trades_Base,Trades_ScaleOut
LINKUSDT,veterana,6h,2021,2021-01-01 a 2021-12-31,BULL,43.12,38.05,73.63,53.5,50.57,13,7
LINKUSDT,veterana,6h,2022,2022-01-01 a 2022-12-31,BEAR,-53.9,-49.4,-71.44,59.93,56.71,15,9
LINKUSDT,veterana,6h,2023,2023-01-01 a 2023-12-31,BULL,118.41,79.87,168.0,24.35,24.69,14,9
LINKUSDT,veterana,6h,2024,2024-01-01 a 2024-12-31,BULL,-7.43,-14.86,33.92,45.4,46.45,17,11
LINKUSDT,veterana,6h,2025,2025-01-01 a 2025-08-01,LATERAL,-25.22,-34.61,-18.63,34.41,42.93,7,5
PENGUUSDT,nova,4h,2024,2024-12-17 a 2024-12-31,BULL,0.0,0.0,887.44,0.0,0.0,0,0
PENGUUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,-1.56,19.17,2.39,44.18,40.75,11,7
PEPEUSDT,nova,4h,2023,2023-05-05 a 2023-12-31,BEAR,106.41,103.95,-34.01,28.02,27.15,9,6
PEPEUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,702.48,397.78,1435.38,58.64,55.4,25,15
PEPEUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,16.59,-14.86,-46.64,40.51,35.27,11,8
RENDERUSDT,nova,4h,2024,2024-07-26 a 2024-12-31,LATERAL,51.06,29.25,-3.39,18.99,22.15,8,5
RENDERUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,7.46,-17.48,-46.85,28.95,39.08,11,8
SOLUSDT,veterana,8h,2020,2020-08-11 a 2020-12-31,BEAR,-12.42,-9.64,-47.11,26.47,26.35,1,1
SOLUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,5446.63,6410.06,11166.57,47.3,40.11,9,5
SOLUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-59.09,-56.37,-94.14,70.01,61.67,12,7
SOLUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,604.07,349.96,920.26,33.84,30.62,9,6
SOLUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,-10.14,7.12,86.11,35.14,36.33,7,5
SOLUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,LATERAL,-0.23,-25.48,-10.96,33.63,45.53,6,4
SUIUSDT,nova,6h,2023,2023-05-03 a 2023-12-31,BULL,10.96,18.52,675.2,20.79,18.5,6,4
SUIUSDT,nova,6h,2024,2024-01-01 a 2024-12-31,BULL,8.15,18.21,431.73,39.4,36.2,19,10
SUIUSDT,nova,6h,2025,2025-01-01 a 2025-08-01,LATERAL,11.18,17.4,-14.22,31.09,32.43,9,5
TAOUSDT,nova,4h,2024,2024-04-11 a 2024-12-31,LATERAL,44.33,82.29,0.27,25.63,20.94,11,7
TAOUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,29.93,-3.7,-20.02,23.21,40.93,13,9
TRXUSDT,veterana,8h,2018,2018-08-03 a 2018-12-31,BEAR,-1.3,-5.52,-40.3,23.93,22.81,3,2
TRXUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,BEAR,-14.35,-21.33,-28.76,45.86,48.66,7,4
TRXUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,BULL,168.4,158.16,101.28,37.73,39.8,5,5
TRXUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,146.96,175.56,181.62,48.08,49.64,11,8
TRXUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-30.49,-30.57,-27.68,43.34,40.76,11,8
TRXUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,44.05,44.2,97.5,22.33,20.66,13,7
TRXUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,121.34,110.7,136.71,43.86,43.86,7,3
TRXUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,BULL,-27.08,-3.74,28.35,41.04,21.85,10,5
XRPUSDT,veterana,8h,2018,2018-08-03 a 2018-12-31,LATERAL,2.65,3.51,-19.0,46.36,45.91,3,3
XRPUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,BEAR,-7.52,-6.17,-44.66,36.18,36.98,8,5
XRPUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,LATERAL,143.07,157.32,13.87,33.14,35.76,10,7
XRPUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,244.56,160.67,277.94,55.87,56.76,6,3
XRPUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-21.2,-15.18,-59.16,40.25,37.98,10,5
XRPUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,14.62,15.89,81.65,29.04,34.87,13,6
XRPUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,121.77,91.17,238.52,51.18,37.25,12,8
XRPUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,BULL,-22.13,-24.22,46.07,61.59,55.65,8,4
ZECUSDT,nova,4h,2019,2019-03-21 a 2019-12-31,BEAR,22.52,22.02,-52.92,17.28,19.42,11,7
ZECUSDT,nova,4h,2020,2020-01-01 a 2020-12-31,BULL,51.74,67.85,132.23,31.85,37.3,28,17
ZECUSDT,nova,4h,2021,2021-01-01 a 2021-12-31,BULL,142.19,134.89,129.05,51.09,36.08,16,11
ZECUSDT,nova,4h,2022,2022-01-01 a 2022-12-31,BEAR,-28.31,-43.55,-74.54,44.91,49.89,16,12
ZECUSDT,nova,4h,2023,2023-01-01 a 2023-12-31,BEAR,-41.13,-30.6,-27.83,44.87,35.67,18,12
ZECUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,-36.9,-44.67,109.03,62.99,58.34,26,16
ZECUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,-10.02,-1.98,-34.91,30.56,32.87,11,7
