Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_Base_%,DD_Base_%,Trades_Base,Retorno_VolFiltro_%,DD_VolFiltro_%,Trades_VolFiltro
XRPUSDT,veterana,2019,BEAR,-44.66,-7.52,36.18,8,-5.68,36.18,7
XRPUSDT,veterana,2020,LATERAL,13.87,143.07,33.14,10,151.19,33.14,6
XRPUSDT,veterana,2021,BULL,277.94,244.56,55.87,6,244.56,55.87,6
XRPUSDT,veterana,2022,BEAR,-59.16,-21.2,40.25,10,-7.9,35.07,6
XRPUSDT,veterana,2023,BULL,81.65,14.62,29.04,13,7.37,35.55,10
XRPUSDT,veterana,2024,BULL,238.52,121.77,51.18,12,198.55,41.84,7
XRPUSDT,veterana,2025,BULL,42.12,-24.24,61.59,8,-10.02,17.61,3
ZECUSDT,nova,2019,BEAR,-52.92,22.52,17.28,11,17.19,20.5,9
ZECUSDT,nova,2020,BULL,132.23,51.74,31.85,28,75.61,33.59,14
ZECUSDT,nova,2021,BULL,129.05,142.19,51.09,16,-20.63,32.82,3
ZECUSDT,nova,2022,BEAR,-74.54,-28.31,44.91,16,-21.47,29.32,8
ZECUSDT,nova,2023,BEAR,-27.83,-41.13,44.87,18,-40.85,43.73,11
ZECUSDT,nova,2024,BULL,109.03,-36.9,62.99,26,-17.35,49.38,14
ZECUSDT,nova,2025,BEAR,-35.26,-10.02,30.56,11,-10.7,22.09,6
