Ativo,Grupo,Ano,Regime,BuyHold_%,Retorno_ScaleOut_%,DD_ScaleOut_%,Retorno_ScaleOutTrailing_%,DD_ScaleOutTrailing_%
XRPUSDT,veterana,2018,LATERAL,-19.0,3.51,45.91,-1.74,48.65
XRPUSDT,veterana,2019,BEAR,-44.66,-6.17,36.98,-5.24,32.16
XRPUSDT,veterana,2020,LATERAL,13.87,157.32,35.76,140.87,35.25
XRPUSDT,veterana,2021,BULL,277.94,160.67,56.76,409.79,46.05
XRPUSDT,veterana,2022,BEAR,-59.16,-15.18,37.98,-24.59,38.93
XRPUSDT,veterana,2023,BULL,81.65,15.89,34.87,-5.22,28.19
XRPUSDT,veterana,2024,BULL,238.52,91.17,37.25,122.49,49.99
XRPUSDT,veterana,2025,BULL,42.12,-25.38,55.65,-10.16,54.16
ZECUSDT,nova,2019,BEAR,-52.92,22.02,19.42,12.09,19.51
ZECUSDT,nova,2020,BULL,132.23,67.85,37.3,86.03,33.58
ZECUSDT,nova,2021,BULL,129.05,134.89,36.08,148.04,49.02
ZECUSDT,nova,2022,BEAR,-74.54,-43.55,49.89,-41.98,55.79
ZECUSDT,nova,2023,BEAR,-27.83,-30.6,35.67,-34.6,40.08
ZECUSDT,nova,2024,BULL,109.03,-44.67,58.34,-36.03,65.86
ZECUSDT,nova,2025,BEAR,-35.26,-1.98,32.87,-20.53,35.75
