Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_Base_%,Retorno_ADX_%,BuyHold_%,DD_Base_%,DD_ADX_%,Trades_Base,Trades_ADX
LINKUSDT,veterana,6h,2024,2024-01-01 a 2024-12-31,BULL,-7.43,-17.81,33.92,45.4,51.52,17,17
LINKUSDT,veterana,6h,2025,2025-01-01 a 2025-08-01,LATERAL,-25.22,-25.22,-18.63,34.41,34.41,7,7
PENGUUSDT,nova,4h,2024,2024-12-17 a 2024-12-31,BULL,0.0,0.0,887.44,0.0,0.0,0,0
PENGUUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,-1.56,54.22,2.39,44.18,32.21,11,6
PEPEUSDT,nova,4h,2023,2023-05-05 a 2023-12-31,BEAR,106.41,117.61,-34.01,28.02,28.02,9,7
PEPEUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,702.48,979.64,1435.38,58.64,56.25,25,20
PEPEUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,16.59,25.2,-46.64,40.51,40.51,11,10
RENDERUSDT,nova,4h,2024,2024-07-26 a 2024-12-31,LATERAL,51.06,56.83,-3.39,18.99,18.99,8,6
RENDERUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,7.46,11.94,-46.85,28.95,28.95,11,9
SOLUSDT,veterana,8h,2020,2020-08-11 a 2020-12-31,BEAR,-12.42,-12.42,-47.11,26.47,26.47,1,1
SOLUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,5446.63,5446.63,11166.57,47.3,47.3,9,9
SOLUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-59.09,-61.89,-94.14,70.01,71.67,12,8
SOLUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,604.07,534.07,920.26,33.84,38.12,9,7
SOLUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,-10.14,-9.2,86.11,35.14,35.14,7,6
SOLUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,LATERAL,-0.23,-0.23,-10.96,33.63,33.63,6,6
SUIUSDT,nova,6h,2023,2023-05-03 a 2023-12-31,BULL,10.96,6.74,675.2,20.79,20.79,6,5
SUIUSDT,nova,6h,2024,2024-01-01 a 2024-12-31,BULL,8.15,-8.02,431.73,39.4,49.31,19,17
SUIUSDT,nova,6h,2025,2025-01-01 a 2025-08-01,LATERAL,11.18,14.86,-14.22,31.09,31.09,9,8
TAOUSDT,nova,4h,2024,2024-04-11 a 2024-12-31,LATERAL,44.33,32.43,0.27,25.63,25.69,11,10
TAOUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,LATERAL,29.93,3.39,-20.02,23.21,37.63,13,13
TRXUSDT,veterana,8h,2018,2018-08-03 a 2018-12-31,BEAR,-1.3,-5.6,-40.3,23.93,30.11,3,2
TRXUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,BEAR,-14.35,-14.35,-28.76,45.86,45.86,7,7
TRXUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,BULL,168.4,168.4,101.28,37.73,37.73,5,5
TRXUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,146.96,167.23,181.62,48.08,48.08,11,10
TRXUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-30.49,-27.28,-27.68,43.34,40.72,11,10
TRXUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,44.05,46.59,97.5,22.33,22.33,13,12
TRXUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,121.34,121.34,136.71,43.86,43.86,7,7
TRXUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,BULL,-27.08,-23.96,28.35,41.04,41.23,10,8
XRPUSDT,veterana,8h,2018,2018-08-03 a 2018-12-31,LATERAL,2.65,2.65,-19.0,46.36,46.36,3,3
XRPUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,BEAR,-7.52,-9.84,-44.66,36.18,36.18,8,7
XRPUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,LATERAL,143.07,143.07,13.87,33.14,33.14,10,10
XRPUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,244.56,244.56,277.94,55.87,55.87,6,6
XRPUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-21.2,-21.2,-59.16,40.25,40.25,10,10
XRPUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,14.62,14.62,81.65,29.04,29.04,13,13
XRPUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,121.77,116.96,238.52,51.18,52.24,12,12
XRPUSDT,veterana,8h,2025,2025-01-01 a 2025-08-01,BULL,-22.13,-14.79,46.07,61.59,57.97,8,7
ZECUSDT,nova,4h,2019,2019-03-21 a 2019-12-31,BEAR,22.52,22.52,-52.92,17.28,17.28,11,11
ZECUSDT,nova,4h,2020,2020-01-01 a 2020-12-31,BULL,51.74,124.61,132.23,31.85,31.27,28,22
ZECUSDT,nova,4h,2021,2021-01-01 a 2021-12-31,BULL,142.19,164.22,129.05,51.09,29.81,16,15
ZECUSDT,nova,4h,2022,2022-01-01 a 2022-12-31,BEAR,-28.31,-28.29,-74.54,44.91,44.9,16,15
ZECUSDT,nova,4h,2023,2023-01-01 a 2023-12-31,BEAR,-41.13,-40.08,-27.83,44.87,43.89,18,17
ZECUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,-36.9,-30.42,109.03,62.99,61.99,26,24
ZECUSDT,nova,4h,2025,2025-01-01 a 2025-08-01,BEAR,-10.02,-1.4,-34.91,30.56,41.02,11,9
