media_rapida_per,media_lenta_per,media_filtro_tendencia_per,atr_periodo,atr_multiplicador,Retorno_Anualizado_%,Calmar,DD_%,Num_Trades,Sharpe,Ativo,combinacao
9,40,100,20,2.5,493.36,14.119501293084095,34.94,35,2.185074400203716,FLOKI,R:9_L:40_F:100_A:20_M:2.5
9,40,100,7,2.0,492.86,14.105161714528222,34.94,35,2.1850985255318145,FLOKI,R:9_L:40_F:100_A:7_M:2.0
9,40,100,25,2.5,492.44,14.093041663237662,34.94,35,2.1834387986316632,FLOKI,R:9_L:40_F:100_A:25_M:2.5
9,40,100,7,1.0,491.87,14.07673435070737,34.94,35,2.2090830004887394,FLOKI,R:9_L:40_F:100_A:7_M:1.0
9,40,100,7,3.0,490.69,14.043083376790468,34.94,35,2.1799517009959604,FLOKI,R:9_L:40_F:100_A:7_M:3.0
9,40,100,7,2.5,489.85,14.01911373367478,34.94,35,2.1804959904505026,FLOKI,R:9_L:40_F:100_A:7_M:2.5
9,40,100,30,1.5,488.34,13.97593354601,34.94,35,2.1988423048051278,FLOKI,R:9_L:40_F:100_A:30_M:1.5
9,50,50,7,1.0,529.0,13.95930224781709,37.9,37,2.3525089773128403,BONK,R:9_L:50_F:50_A:7_M:1.0
9,40,100,14,3.0,486.28,13.916777568452884,34.94,35,2.1730519855949804,FLOKI,R:9_L:40_F:100_A:14_M:3.0
9,40,100,20,3.0,486.16,13.913485285949742,34.94,35,2.173741198911423,FLOKI,R:9_L:40_F:100_A:20_M:3.0
7,50,150,20,2.0,523.92,13.883401947409808,37.74,18,2.582119140642722,BONK,R:7_L:50_F:150_A:20_M:2.0
9,40,100,14,2.5,484.88,13.876928616188303,34.94,35,2.170249443792497,FLOKI,R:9_L:40_F:100_A:14_M:2.5
9,40,200,5,0.5,528.96,13.87180780584074,38.13,26,2.615652458580731,BONK,R:9_L:40_F:200_A:5_M:0.5
9,40,100,30,2.5,484.67,13.870741482945355,34.94,35,2.1710059157972763,FLOKI,R:9_L:40_F:100_A:30_M:2.5
9,40,100,30,3.0,483.46,13.836231400956944,34.94,35,2.169543284521485,FLOKI,R:9_L:40_F:100_A:30_M:3.0
7,50,150,14,2.0,524.71,13.82843546830536,37.94,18,2.5828333904836334,BONK,R:7_L:50_F:150_A:14_M:2.0
10,40,100,7,1.5,482.87,13.8193182831085,34.94,32,2.175319276197256,FLOKI,R:10_L:40_F:100_A:7_M:1.5
9,40,100,25,1.5,482.68,13.813820772093155,34.94,35,2.189082363528759,FLOKI,R:9_L:40_F:100_A:25_M:1.5
9,40,100,5,5.0,482.65,13.81286823710393,34.94,35,2.16787093423347,FLOKI,R:9_L:40_F:100_A:5_M:5.0
9,40,100,25,3.0,481.82,13.789356012391709,34.94,35,2.166487745472411,FLOKI,R:9_L:40_F:100_A:25_M:3.0
9,40,100,10,3.0,481.71,13.78612831189546,34.94,35,2.164838352304286,FLOKI,R:9_L:40_F:100_A:10_M:3.0
9,40,100,20,1.5,481.68,13.785157473285023,34.94,35,2.187665459301405,FLOKI,R:9_L:40_F:100_A:20_M:1.5
9,40,100,7,5.0,480.92,13.754242459046427,34.97,35,2.164687383934831,FLOKI,R:9_L:40_F:100_A:7_M:5.0
9,40,100,10,1.5,479.02,13.709083896931045,34.94,35,2.184498129418266,FLOKI,R:9_L:40_F:100_A:10_M:1.5
7,50,150,25,2.0,515.96,13.65912916476031,37.77,18,2.563986149139954,BONK,R:7_L:50_F:150_A:25_M:2.0
9,50,150,5,1.0,511.57,13.646400154015687,37.49,16,2.647654355767037,BONK,R:9_L:50_F:150_A:5_M:1.0
9,40,100,5,1.5,474.62,13.583308573091358,34.94,35,2.150564924530121,FLOKI,R:9_L:40_F:100_A:5_M:1.5
9,40,100,5,3.0,484.27,13.534099779447606,35.78,35,2.1677731647854688,FLOKI,R:9_L:40_F:100_A:5_M:3.0
18,80,50,7,4.0,527.3,13.519939435078689,39.0,26,2.1735501763950555,PEPE,R:18_L:80_F:50_A:7_M:4.0
15,80,100,25,3.0,503.68,13.503102485452445,37.3,26,2.177749734976058,PEPE,R:15_L:80_F:100_A:25_M:3.0
10,40,100,30,1.5,471.72,13.500218221921042,34.94,32,2.1785781939195608,FLOKI,R:10_L:40_F:100_A:30_M:1.5
7,50,150,7,1.5,501.39,13.460251144108817,37.25,18,2.5462867557752995,BONK,R:7_L:50_F:150_A:7_M:1.5
9,40,100,5,1.0,469.42,13.434490676215514,34.94,35,2.168017706868442,FLOKI,R:9_L:40_F:100_A:5_M:1.0
18,80,50,20,4.0,522.99,13.40930555232658,39.0,26,2.1673726744940973,PEPE,R:18_L:80_F:50_A:20_M:4.0
9,40,100,30,2.0,468.54,13.409033674968311,34.94,35,2.1658126842187078,FLOKI,R:9_L:40_F:100_A:30_M:2.0
10,40,100,7,2.0,468.38,13.404694489014153,34.94,32,2.148237390903207,FLOKI,R:10_L:40_F:100_A:7_M:2.0
9,50,150,7,1.0,506.38,13.402355948832128,37.78,16,2.6354055490824573,BONK,R:9_L:50_F:150_A:7_M:1.0
14,80,100,20,3.0,463.13,13.395545973791624,34.57,24,2.1390125268492244,PEPE,R:14_L:80_F:100_A:20_M:3.0
10,40,100,20,1.5,466.49,13.350625321740852,34.94,32,2.1672216046540864,FLOKI,R:10_L:40_F:100_A:20_M:1.5
10,40,100,25,1.5,466.32,13.345510259797653,34.94,32,2.168509018005158,FLOKI,R:10_L:40_F:100_A:25_M:1.5
10,40,100,10,2.0,466.0,13.336357456351948,34.94,32,2.144715663197941,FLOKI,R:10_L:40_F:100_A:10_M:2.0
10,40,100,14,2.0,464.7,13.29934976208917,34.94,32,2.143833491378331,FLOKI,R:10_L:40_F:100_A:14_M:2.0
18,80,50,14,4.0,517.06,13.257187437638803,39.0,26,2.158275802857858,PEPE,R:18_L:80_F:50_A:14_M:4.0
18,80,50,25,4.0,516.94,13.25419904461517,39.0,26,2.1581450630612427,PEPE,R:18_L:80_F:50_A:25_M:4.0
10,20,100,30,3.0,263.77,13.246024534565237,19.91,24,2.6509965035191034,TAO,R:10_L:20_F:100_A:30_M:3.0
10,40,100,10,1.5,462.14,13.226151835133471,34.94,32,2.16171763207668,FLOKI,R:10_L:40_F:100_A:10_M:1.5
18,80,50,10,4.0,514.98,13.204087645693988,39.0,26,2.1549682730464146,PEPE,R:18_L:80_F:50_A:10_M:4.0
18,80,50,5,5.0,514.09,13.181265928069084,39.0,26,2.1529286378533268,PEPE,R:18_L:80_F:50_A:5_M:5.0
10,20,100,7,3.0,262.39,13.176716872818956,19.91,25,2.6604214120535707,TAO,R:10_L:20_F:100_A:7_M:3.0
10,40,100,5,2.5,460.31,13.173596117686673,34.94,32,2.1332547545645717,FLOKI,R:10_L:40_F:100_A:5_M:2.5
9,40,100,25,2.0,460.12,13.168194025269225,34.94,35,2.14890471859129,FLOKI,R:9_L:40_F:100_A:25_M:2.0
18,80,50,30,4.0,513.43,13.16430539535099,39.0,26,2.1526994355713063,PEPE,R:18_L:80_F:50_A:30_M:4.0
7,50,150,10,2.0,509.53,13.161518801345338,38.71,18,2.547043729722566,BONK,R:7_L:50_F:150_A:10_M:2.0
7,50,200,20,2.0,480.33,13.15933486443726,36.5,17,2.5279114746276736,BONK,R:7_L:50_F:200_A:20_M:2.0
9,40,100,20,2.0,458.98,13.135621641432332,34.94,35,2.147026912554801,FLOKI,R:9_L:40_F:100_A:20_M:2.0
10,20,100,5,3.0,261.55,13.134620128665974,19.91,25,2.622903896644968,TAO,R:10_L:20_F:100_A:5_M:3.0
5,50,150,10,2.0,481.92,13.125789492492302,36.72,22,2.4470560271685766,BONK,R:5_L:50_F:150_A:10_M:2.0
5,50,150,14,1.5,489.88,13.108639644850811,37.37,22,2.4632660075912334,BONK,R:5_L:50_F:150_A:14_M:1.5
10,40,100,5,2.0,457.9,13.10458516123155,34.94,32,2.129451873204194,FLOKI,R:10_L:40_F:100_A:5_M:2.0
7,50,200,14,2.0,481.07,13.103625536549613,36.71,17,2.5286406894033666,BONK,R:7_L:50_F:200_A:14_M:2.0
9,40,100,5,6.0,472.67,13.09594599280769,36.09,35,2.149589717724221,FLOKI,R:9_L:40_F:100_A:5_M:6.0
7,50,150,30,1.5,468.46,13.09009997104931,35.79,18,2.516235380407961,BONK,R:7_L:50_F:150_A:30_M:1.5
10,40,100,20,2.5,456.04,13.05132590951811,34.94,32,2.125622140488057,FLOKI,R:10_L:40_F:100_A:20_M:2.5
18,80,50,14,3.0,511.99,13.046024988873553,39.25,26,2.1506545640297405,PEPE,R:18_L:80_F:50_A:14_M:3.0
18,80,50,7,5.0,508.7,13.04295348575633,39.0,26,2.1442775915676804,PEPE,R:18_L:80_F:50_A:7_M:5.0
9,40,200,30,1.0,507.45,13.028276317248215,38.95,26,2.534536064151948,BONK,R:9_L:40_F:200_A:30_M:1.0
18,80,50,10,5.0,507.9,13.022422055254822,39.0,26,2.1429672085279057,PEPE,R:18_L:80_F:50_A:10_M:5.0
10,40,100,5,1.5,454.52,13.007915900174796,34.94,32,2.11980728890409,FLOKI,R:10_L:40_F:100_A:5_M:1.5
18,80,50,5,4.0,506.12,12.976906974651031,39.0,26,2.140566011446364,PEPE,R:18_L:80_F:50_A:5_M:4.0
15,80,100,14,3.0,478.34,12.9760628716128,36.86,26,2.132841494298705,PEPE,R:15_L:80_F:100_A:14_M:3.0
15,80,100,5,3.0,488.75,12.966486648518517,37.69,26,2.1487039145722937,PEPE,R:15_L:80_F:100_A:5_M:3.0
10,40,100,25,2.5,452.42,12.947727814857744,34.94,32,2.1186968956710124,FLOKI,R:10_L:40_F:100_A:25_M:2.5
7,50,200,25,2.0,472.93,12.943162863736571,36.54,17,2.5094433825927247,BONK,R:7_L:50_F:200_A:25_M:2.0
7,50,200,30,2.0,473.26,12.932543183933303,36.59,17,2.5090643070024075,BONK,R:7_L:50_F:200_A:30_M:2.0
18,80,50,7,3.0,504.0,12.922487913239506,39.0,26,2.138320008123412,PEPE,R:18_L:80_F:50_A:7_M:3.0
10,40,100,25,3.0,451.53,12.922242459371883,34.94,32,2.117833449130727,FLOKI,R:10_L:40_F:100_A:25_M:3.0
10,20,100,5,2.5,256.86,12.899275497288375,19.91,25,2.5964142098225027,TAO,R:10_L:20_F:100_A:5_M:2.5
15,80,100,20,3.0,493.88,12.897808524534565,38.29,26,2.161569639280604,PEPE,R:15_L:80_F:100_A:20_M:3.0
