Ativo,Grupo,Interval,Ano,Periodo,Regime,Retorno_%,BH_%,DD_%,Trades,Sharpe_janela
LINKUSDT,veterana,6h,2022,2022-01-01 a 2022-12-31,BEAR,-53.9,-71.44,59.93,15,-1.035
LINKUSDT,veterana,6h,2023,2023-01-01 a 2023-12-31,BULL,118.41,168.0,24.35,14,1.557
LINKUSDT,veterana,6h,2024,2024-01-01 a 2024-12-31,BULL,-7.43,33.92,45.4,17,0.22
LINKUSDT,veterana,6h,2025,2025-01-01 a 2025-08-06,LATERAL,-25.22,-16.13,34.41,7,-0.863
PENGUUSDT,nova,4h,2024,2024-12-17 a 2024-12-31,BULL,0.0,887.44,0.0,0,
PENGUUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,LATERAL,-1.56,6.4,44.18,11,0.326
PEPEUSDT,nova,4h,2023,2023-05-05 a 2023-12-31,BEAR,106.41,-34.01,28.02,9,1.89
PEPEUSDT,nova,4h,2024,2024-01-01 a 2024-12-31,BULL,702.48,1435.38,58.64,25,1.98
PEPEUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,BEAR,16.59,-47.29,40.51,11,0.708
RENDERUSDT,nova,4h,2024,2024-07-26 a 2024-12-31,LATERAL,51.06,-3.39,18.99,8,2.003
RENDERUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,BEAR,7.46,-46.86,28.95,11,0.491
SOLUSDT,veterana,8h,2020,2020-08-11 a 2020-12-31,BEAR,-12.42,-47.11,26.47,1,-0.545
SOLUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,5446.63,11166.57,47.3,9,3.378
SOLUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-59.09,-94.14,70.01,12,-1.495
SOLUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,604.07,920.26,33.84,9,2.566
SOLUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,-10.14,86.11,35.14,7,-0.145
SOLUSDT,veterana,8h,2025,2025-01-01 a 2025-08-06,LATERAL,-2.82,-11.21,33.63,7,0.205
SUIUSDT,nova,6h,2023,2023-05-03 a 2023-12-31,BULL,10.96,675.2,20.79,6,0.595
SUIUSDT,nova,6h,2024,2024-01-01 a 2024-12-31,BULL,8.15,431.73,39.4,19,0.49
SUIUSDT,nova,6h,2025,2025-01-01 a 2025-08-06,LATERAL,11.18,-15.08,31.09,9,0.576
TAOUSDT,nova,4h,2024,2024-04-11 a 2024-12-31,LATERAL,44.33,0.27,25.63,11,1.225
TAOUSDT,nova,4h,2025,2025-01-01 a 2025-08-06,LATERAL,29.93,-21.02,23.21,13,1.144
TRXUSDT,veterana,8h,2018,2018-08-08 a 2018-12-31,BEAR,-1.3,-32.49,23.93,3,0.4
TRXUSDT,veterana,8h,2019,2019-01-01 a 2019-12-31,BEAR,-14.35,-28.76,45.86,7,0.026
TRXUSDT,veterana,8h,2020,2020-01-01 a 2020-12-31,BULL,168.4,101.28,37.73,5,1.652
TRXUSDT,veterana,8h,2021,2021-01-01 a 2021-12-31,BULL,146.96,181.62,48.08,11,1.401
TRXUSDT,veterana,8h,2022,2022-01-01 a 2022-12-31,BEAR,-30.49,-27.68,43.34,11,-0.848
TRXUSDT,veterana,8h,2023,2023-01-01 a 2023-12-31,BULL,44.05,97.5,22.33,13,1.158
TRXUSDT,veterana,8h,2024,2024-01-01 a 2024-12-31,BULL,121.34,136.71,43.86,7,1.279
